369,0.01198,-0.00619,0.03852,0.99999,0.00322,-0.00072,0.00066,0.00000,0.00000,0.00000,
369,0.00348,-0.01334,0.04364,1.00000,0.00085,0.00173,-0.00009,0.00000,0.00000,0.00000,
369,0.00520,-0.01246,0.04470,1.00000,0.00144,0.00139,0.00032,0.00000,0.00000,0.00000,
369,0.01046,-0.01290,0.04420,1.00000,0.00134,-0.00039,0.00065,0.00000,0.00000,0.00000,
369,0.00671,-0.01186,0.04372,1.00000,0.00231,0.00056,0.00027,0.00000,0.00000,0.00000,
369,0.00390,-0.01762,0.05061,1.00000,-0.00025,0.00199,-0.00042,0.00000,0.00000,0.00000,
373,-0.54489,-0.04636,0.03989,0.99999,-0.00001,-0.00279,0.00152,0.00000,0.00000,0.00000,
373,-0.54240,-0.05566,0.04530,0.99997,-0.00408,-0.00524,0.00308,0.00000,0.00000,0.00000,
373,-0.56513,-0.04899,0.05015,1.00000,-0.00237,-0.00159,0.00100,0.00000,0.00000,0.00000,
373,-0.56590,-0.06256,0.04699,0.99997,-0.00633,-0.00415,0.00291,0.00000,0.00000,0.00000,
373,-0.57244,-0.06924,0.04324,0.99994,-0.00821,-0.00531,0.00385,0.00000,0.00000,0.00000,
373,-0.58672,-0.06808,0.04826,0.99994,-0.00942,-0.00383,0.00295,0.00000,0.00000,0.00000,
373,-0.58967,-0.06309,0.03349,0.99995,-0.00685,-0.00677,0.00314,0.00000,0.00000,0.00000,
377,-1.14193,-0.04428,-0.12527,0.99992,-0.00986,-0.00568,0.00472,0.00000,0.00000,0.00000,
377,-1.15126,-0.04969,-0.12441,0.99991,-0.01095,-0.00557,0.00509,0.00000,0.00000,0.00000,
377,-1.15974,-0.04813,-0.13039,0.99991,-0.01033,-0.00653,0.00462,0.00000,0.00000,0.00000,
377,-1.17990,-0.04432,-0.12701,0.99994,-0.01017,-0.00416,0.00282,0.00000,0.00000,0.00000,
377,-1.20133,-0.03535,-0.11362,0.99996,-0.00909,-0.00011,0.00156,0.00000,0.00000,0.00000,
377,-1.20950,-0.03439,-0.11639,0.99996,-0.00907,-0.00102,0.00064,0.00000,0.00000,0.00000,
377,-1.22205,-0.04022,-0.10635,0.99994,-0.01085,0.00080,0.00098,0.00000,0.00000,0.00000,
381,-1.77986,-0.05109,-0.35221,0.99904,-0.01952,-0.03613,-0.01538,0.00000,0.00000,0.00000,
381,-1.76990,-0.06777,-0.33708,0.99895,-0.02379,-0.03703,-0.01304,0.00000,0.00000,0.00000,
381,-1.80134,-0.07691,-0.33080,0.99911,-0.02468,-0.03208,-0.01225,0.00000,0.00000,0.00000,
381,-1.81250,-0.07031,-0.35122,0.99904,-0.02344,-0.03408,-0.01443,0.00000,0.00000,0.00000,
382,-1.80222,-0.10156,-0.35623,0.99918,-0.02138,-0.03427,-0.00351,0.00000,0.00000,0.00000,
382,-1.83377,-0.13148,-0.32274,0.99943,-0.02292,-0.02436,0.00405,0.00000,0.00000,0.00000,
382,-1.85779,-0.12251,-0.31596,0.99953,-0.02238,-0.02104,0.00186,0.00000,0.00000,0.00000,
385,-2.26325,-0.32175,-0.62629,0.99803,-0.04727,-0.03593,0.02042,0.00000,0.00000,0.00000,
386,-2.35958,-0.28070,-0.59250,0.99882,-0.04050,-0.02049,0.01724,0.00000,0.00000,0.00000,
386,-2.37556,-0.28861,-0.54750,0.99872,-0.04542,-0.01570,0.01582,0.00000,0.00000,0.00000,
386,-2.13443,-0.31941,-0.34096,0.99729,-0.06327,-0.02237,0.03030,0.00000,0.00000,0.00000,
386,-2.30469,-0.35368,-0.47211,0.99787,-0.05680,-0.01688,0.02744,0.00000,0.00000,0.00000,
386,-2.40351,-0.30905,-0.57952,0.99864,-0.04541,-0.01696,0.01937,0.00000,0.00000,0.00000,
386,-2.39265,-0.30776,-0.58777,0.99858,-0.04537,-0.01976,0.01994,0.00000,0.00000,0.00000,
390,-2.92896,-0.38812,-0.73412,0.99832,-0.05193,-0.00242,0.02570,0.00000,0.00000,0.00000,
390,-3.01082,-0.42203,-0.76728,0.99829,-0.05253,0.00113,0.02544,0.00000,0.00000,0.00000,
390,-3.02824,-0.40711,-0.75065,0.99838,-0.05131,0.00441,0.02419,0.00000,0.00000,0.00000,
390,-2.95046,-0.59707,-0.62811,0.99623,-0.07556,0.00707,0.04198,0.00000,0.00000,0.00000,
390,-3.09856,-0.67603,-0.70230,0.99596,-0.07915,0.01073,0.04103,0.00000,0.00000,0.00000,
390,-3.02543,-0.56237,-0.63493,0.99674,-0.07106,0.01248,0.03615,0.00000,0.00000,0.00000,
390,-3.37674,-0.82595,-0.87817,0.99572,-0.08092,0.02073,0.03954,0.00000,0.00000,0.00000,
394,-5.46453,-0.58735,1.18802,0.99578,-0.07909,0.02271,0.04069,0.00000,0.00000,0.00000,
394,-4.27260,-0.80658,2.51602,0.99554,-0.08602,-0.00867,0.03766,0.00000,0.00000,0.00000,
394,-5.24499,-1.32528,1.43816,0.99406,-0.09926,0.01968,0.03997,0.00000,0.00000,0.00000,
394,-4.14149,-2.18820,0.27590,0.99229,-0.11518,0.02443,0.03873,0.00000,0.00000,0.00000,
394,-3.44138,-3.12745,-1.65091,0.98918,-0.13339,0.04291,0.04340,0.00000,0.00000,0.00000,
394,-5.68360,-3.42302,1.26157,0.97691,-0.19396,0.04286,0.07870,0.00000,0.00000,0.00000,
394,-4.04098,-2.58461,-0.11286,0.97796,-0.18308,0.03852,0.09274,0.00000,0.00000,0.00000,
398,3.93962,-1.99283,3.47371,0.91095,-0.34738,-0.06264,0.21348,0.00000,0.00000,0.00000,
398,1.22530,-1.06382,4.73235,0.89476,-0.37269,-0.05346,0.24009,0.00000,0.00000,0.00000,
398,16.68548,-12.13150,-8.84128,0.72094,-0.57536,0.08029,0.37783,0.00000,0.00000,0.00000,
398,10.95407,-2.02530,17.03374,0.91164,-0.29897,-0.27997,0.03368,0.00000,0.00000,0.00000,
398,14.05163,-2.00453,6.22104,0.96965,-0.14714,-0.15042,0.12448,0.00000,0.00000,0.00000,
398,17.06662,-5.53386,2.37605,0.98413,-0.14149,-0.10328,0.02849,0.00000,0.00000,0.00000,
398,14.03444,-5.69095,7.06669,0.95239,-0.27097,-0.13976,0.00216,0.00000,0.00000,0.00000,
402,14.05896,-2.03375,4.53043,0.96924,-0.22381,-0.10233,0.00295,0.00000,0.00000,0.00000,
402,14.33641,-2.10915,4.46067,0.96924,-0.22025,-0.10984,-0.00101,0.00000,0.00000,0.00000,
402,14.33425,-2.12118,4.43246,0.96923,-0.21982,-0.11075,-0.00108,0.00000,0.00000,0.00000,
402,14.34189,-2.12459,4.44697,0.96878,-0.22140,-0.11154,-0.00061,0.00000,0.00000,0.00000,
402,14.34995,-2.13318,4.43784,0.96851,-0.22194,-0.11283,0.00136,0.00000,0.00000,0.00000,
